"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y","0.93100000000000005",144894,15328,129566,"265","1078","4507",9478,28256,90661,10649
"ALABAMA","M","N","1",149880,15835,134045,"273","1128","4602",9832,29432,93614,10999
"ALABAMA","O","Y","0.90200000000000002",28522,3621,24901,"37","207","519",2858,5044,18600,1257
"ALABAMA","O","N","1",31637,4017,27620,"41","230","576",3170,5595,20631,1394
"ALABAMA","R","Y","0.81299999999999994",9183,1275,7908,"25","126","97",1027,2942,4364,602
"ALABAMA","R","N","1",11302,1569,9733,"31","155","119",1264,3621,5371,741
"ALASKA","M","Y","1",12950,1685,11265,"19","162","398",1106,1543,8471,1251
"ALASKA","O","Y","0.69099999999999995",6514,1010,5504,"9","144","95",762,755,4085,664
"ALASKA","O","N","1",9423,1460,7963,"13","208","137",1102,1092,5910,961
"ALASKA","R","Y","1",4635,764,3871,"21","147","31",565,1152,2273,446
"ARIZONA","M","Y","0.999",262622,24418,238204,"363","1303","7145",15607,45669,155434,37101
"ARIZONA","M","N","1",262859,24433,238426,"363","1304","7149",15617,45714,155584,37128
"ARIZONA","O","Y","0.98499999999999999",12769,995,11774,"10","44","96",845,2168,8919,687
"ARIZONA","O","N","1",12966,1010,11956,"10","45","97",858,2201,9057,698
"ARIZONA","R","Y","0.92500000000000004",5463,823,4640,"10","31","39",743,1394,2857,389
"ARIZONA","R","N","1",5910,891,5019,"11","34","42",804,1508,3090,421
"ARKANSAS","M","Y","1",64746,6845,57901,"79","499","1470",4797,11919,41567,4415
"ARKANSAS","O","Y","0.98999999999999999",26026,2768,23258,"35","137","481",2115,5651,16343,1264
"ARKANSAS","O","N","1",26293,2796,23497,"35","138","486",2137,5709,16511,1277
"ARKANSAS","R","Y","1",12092,1207,10885,"29","73","68",1037,4064,5849,972
"CALIFORNIA","M","Y","0.999",1223207,203067,1020140,"1953","9034","59431",132649,213630,641212,165298
"CALIFORNIA","M","N","1",1223486,203105,1020381,"1953","9036","59442",132674,213680,641367,165334
"CALIFORNIA","O","Y","0.995",21845,2685,19160,"13","161","455",2056,4828,12586,1746
"CALIFORNIA","O","N","1",21961,2699,19262,"13","162","457",2067,4854,12653,1755
"CALIFORNIA","R","Y","1",15717,2075,13642,"39","165","140",1731,5280,6971,1391
"COLORADO","M","Y","0.998",143564,12424,131140,"175","1465","2956",7828,23954,93307,13879
"COLORADO","M","N","1",143929,12450,131479,"175","1468","2963",7844,24007,93558,13914
"COLORADO","O","Y","0.93999999999999995",14803,839,13964,"5","121","74",639,1841,11609,514
"COLORADO","O","N","1",15754,893,14861,"5","129","79",680,1959,12355,547
"COLORADO","R","Y","0.97499999999999998",5005,457,4548,"5","80","14",358,988,3234,326
"COLORADO","R","N","1",5130,468,4662,"5","82","14",367,1013,3315,334
"CONNECTICUT","M","Y","1",101286,10035,91251,"100","597","3926",5412,16939,63789,10523
"CONNECTICUT","O","Y","1",2114,220,1894,"1","2","46",171,362,1432,100
"CONNECTICUT","R","Y","1",7836,1087,6749,"6","55","82",944,1997,4078,674
"DELAWARE","M","Y","1",NA,NA,26474,"22",NA,"1353",2757,4175,19438,2861
"DELAWARE","O","Y","1",NA,NA,1901,"1",NA,"74",214,291,1543,67
"DELAWARE","R","Y","1",NA,NA,2547,"1",NA,"65",518,779,1653,115
"DISTRICT OF COLUMBIA","M","Y","1",41868,8448,33420,"241","248","3344",4615,5067,21701,6652
"FLORIDA","M","Y","0.997",889019,121687,767332,"803","6503","31105",83276,169393,507484,90455
"FLORIDA","M","N","1",892084,122023,770061,"804","6519","31199",83501,169946,509334,90781
"FLORIDA","O","Y","0.85299999999999998",13665,1874,11791,"14","98","333",1429,2894,8265,632
"FLORIDA","O","N","1",16021,2196,13825,"16","115","390",1675,3393,9691,741
"FLORIDA","R","Y","0.98899999999999999",29277,4771,24506,"39","352","376",4004,7948,14908,1650
"FLORIDA","R","N","1",29613,4825,24788,"39","356","380",4050,8039,15080,1669
"GEORGIA","M","Y","0.98999999999999999",302734,30272,272462,"437","1720","11452",16663,52428,185530,34504
"GEORGIA","M","N","1",306060,30525,275535,"440","1737","11539",16809,52946,187748,34841
"GEORGIA","O","Y","0.91100000000000003",50772,5557,45215,"65","273","951",4268,8318,34736,2161
"GEORGIA","O","N","1",55721,6099,49622,"71","300","1044",4684,9129,38121,2372
"GEORGIA","R","Y","0.94399999999999995",37007,4685,32322,"68","266","358",3993,8834,20743,2745
"GEORGIA","R","N","1",39187,4961,34226,"72","282","379",4228,9354,21965,2907
"HAWAII","M","Y","1",42678,2198,40480,"37","235","907",1019,6087,30396,3997
"HAWAII","R","Y","1",14646,587,14059,"7","119","137",324,3334,10062,663
"IDAHO","M","Y","1",18296,1288,17008,"8","178","119",983,3268,12877,863
"IDAHO","O","Y","0.98999999999999999",14702,1086,13616,"7","123","83",873,2638,10340,638
"IDAHO","O","N","1",14847,1097,13750,"7","124","84",882,2664,10442,644
"IDAHO","R","Y","0.98899999999999999",6216,674,5542,"10","114","20",530,1690,3465,387
"IDAHO","R","N","1",6286,681,5605,"10","115","20",536,1709,3505,391
"INDIANA","M","Y","0.83799999999999997",158755,16956,141799,"308","1139","5521",9988,30338,95674,15787
"INDIANA","M","N","1",175670,18079,157591,"325","1234","5687",10833,32974,107579,17038
"INDIANA","O","Y","0.76800000000000002",21159,1000,20159,"10","113","230",647,3254,15687,1218
"INDIANA","O","N","1",27563,1303,26260,"13","147","300",843,4239,20434,1587
"INDIANA","R","Y","0.437",8983,1257,7726,"23","99","222",913,2292,4707,727
"INDIANA","R","N","1",20575,2879,17696,"53","226","509",2091,5250,10781,1665
"IOWA","M","Y","0.97099999999999997",58741,5517,53224,"33","580","896",4008,10046,39642,3536
"IOWA","M","N","1",59744,5606,54138,"33","590","903",4080,10244,40293,3601
"IOWA","O","Y","0.85999999999999999",20661,1591,19070,"9","123","111",1348,3433,14832,805
"IOWA","O","N","1",24025,1850,22175,"10","143","129",1568,3992,17247,936
"IOWA","R","Y","0.90100000000000002",7860,520,7340,"--","42","17",461,2500,4301,539
"IOWA","R","N","1",8728,578,8150,"--","47","19",512,2776,4776,598
"LOUISIANA","M","Y","0.98999999999999999",209163,24836,184327,"397","1199","6993",16247,38859,125479,19989
"LOUISIANA","M","N","1",211335,25099,186236,"399","1208","7029",16463,39191,126925,20120
"LOUISIANA","O","Y","0.84799999999999998",18165,2684,15481,"24","100","300",2260,3467,11355,659
"LOUISIANA","O","N","1",21425,3166,18259,"28","118","354",2666,4089,13393,777
"LOUISIANA","R","Y","0.90500000000000003",16727,3408,13319,"37","110","188",3073,4066,8531,722
"LOUISIANA","R","N","1",18492,3768,14724,"41","122","208",3397,4495,9431,798
"MAINE","M","Y","1",15159,752,14407,"11","115","196",430,2880,10784,743
"MAINE","O","Y","0.97399999999999998",14466,477,13989,"13","92","42",330,2383,11070,536
"MAINE","O","N","1",14855,489,14366,"13","94","43",339,2447,11369,550
"MAINE","R","Y","1",6010,165,5845,"3","30","4",128,2205,3239,401
"MARYLAND","M","Y","0.86399999999999999",172485,21562,150923,"160","972","6249",14181,28268,104666,17989
"MARYLAND","M","N","1",240069,36476,203593,"445","1412","13298",21321,40285,138520,24788
"MARYLAND","O","Y","1",8101,1094,7007,"9","48","250",787,1348,5298,361
"MARYLAND","R","Y","1",6250,877,5373,"11","91","88",687,1597,3478,298
"MASSACHUSETTS","M","Y","0.96299999999999997",186313,31371,154942,"119","1548","5795",23909,29934,100438,24570
"MASSACHUSETTS","M","N","1",191334,32041,159293,"120","1581","5868",24472,30737,103488,25068
"MASSACHUSETTS","O","Y","0.92400000000000004",9328,1821,7507,"2","76","58",1685,2051,4942,514
"MASSACHUSETTS","O","N","1",10092,1970,8122,"2","82","63",1823,2219,5347,556
"MASSACHUSETTS","R","Y","1",34,12,22,"--","--","--",12,8,10,4
"MICHIGAN","M","Y","0.97299999999999998",374382,52347,322035,"666","3805","13799",34077,65203,203087,53745
"MICHIGAN","M","N","1",382883,53147,329736,"670","3882","13963",34632,66417,208610,54709
"MICHIGAN","O","Y","0.877",16648,1060,15588,"3","223","65",769,2145,12802,641
"MICHIGAN","O","N","1",18974,1207,17767,"3","254","74",876,2445,14591,731
"MICHIGAN","R","Y","0.96399999999999997",23846,2270,21576,"21","687","64",1498,7590,12675,1311
"MICHIGAN","R","N","1",24739,2355,22384,"22","713","66",1554,7874,13150,1360
"MINNESOTA","M","Y","1",135221,11238,123983,"104","1524","3790",5820,20514,92363,11106
"MINNESOTA","O","Y","0.997",20821,937,19884,"12","228","93",604,2590,16222,1072
"MINNESOTA","O","N","1",20893,940,19953,"12","229","93",606,2599,16278,1076
"MINNESOTA","R","Y","1",15688,907,14781,"18","285","34",570,4593,9095,1093
"MISSISSIPPI","M","Y","0.751",49734,3696,46038,"74","458","1683",1481,10886,29643,5509
"MISSISSIPPI","M","N","1",56673,4080,52593,"85","535","1783",1677,13057,33604,5932
"MISSISSIPPI","O","Y","0.72999999999999998",32311,2571,29740,"47","289","797",1438,6880,18120,4740
"MISSISSIPPI","O","N","1",44235,3520,40715,"64","396","1091",1969,9419,24807,6489
"MISSISSIPPI","R","Y","0.377",6532,781,5751,"24","85","82",590,2501,2831,419
"MISSISSIPPI","R","N","1",17323,2071,15252,"64","225","217",1565,6633,7508,1111
"MISSOURI","M","Y","0.96499999999999997",204908,22882,182026,"300","1062","6729",14791,32400,128713,20913
"MISSOURI","M","N","1",208705,23169,185536,"303","1085","6779",15002,33013,131328,21195
"MISSOURI","O","Y","0.88500000000000001",23450,2056,21394,"6","152","272",1626,3617,16872,905
"MISSOURI","O","N","1",26512,2325,24187,"7","172","308",1838,4089,19075,1023
"MISSOURI","R","Y","0.51100000000000001",7737,950,6787,"25","93","32",800,2745,3651,391
"MISSOURI","R","N","1",15146,1859,13287,"49","182","62",1566,5374,7147,766
"NEBRASKA","M","Y","1",46775,6127,40648,"45","291","1175",4616,6481,29629,4538
"NEBRASKA","O","Y","0.99099999999999999",15787,759,15028,"6","93","75",585,2137,12287,604
"NEBRASKA","O","N","1",15923,766,15157,"6","94","76",590,2155,12393,609
"NEBRASKA","R","Y","0.98199999999999998",5641,269,5372,"9","28","13",219,1494,3590,288
"NEBRASKA","R","N","1",5746,274,5472,"9","29","13",223,1522,3657,293
"NEVADA","M","Y","1",77545,9553,67992,"147","864","4153",4389,16177,39055,12760
"NEVADA","O","Y","1",2131,141,1990,"7","16","19",99,425,1468,97
"NEVADA","R","Y","1",4509,617,3892,"11","63","37",506,1011,2644,237
"NEW JERSEY","M","Y","1",276873,33540,243333,"287","1409","14243",17601,46998,160978,35357
"NEW MEXICO","M","Y","0.94899999999999995",66716,8409,58307,"95","479","2138",5697,13301,38793,6213
"NEW MEXICO","M","N","1",68631,8705,59926,"99","498","2176",5932,13798,39765,6363
"NEW MEXICO","O","Y","0.78000000000000003",20861,3147,17714,"29","226","251",2641,4278,12597,839
"NEW MEXICO","O","N","1",26736,4034,22702,"37","290","322",3385,5483,16144,1075
"NEW MEXICO","R","Y","0.74199999999999999",6216,1322,4894,"25","116","60",1121,1633,2750,511
"NEW MEXICO","R","N","1",8373,1781,6592,"34","156","81",1510,2200,3704,688
"NEW YORK","M","Y","0.85999999999999999",516760,99836,416924,"851","2954","43097",52934,77025,284427,55472
"NEW YORK","M","N","1",562119,103653,458466,"880","3281","43542",55950,85770,315366,57330
"NEW YORK","O","Y","0.95899999999999996",18424,1569,16855,"3","138","208",1220,2980,13401,474
"NEW YORK","O","N","1",19205,1636,17569,"3","144","217",1272,3106,13969,494
"NEW YORK","R","Y","1",15419,1858,13561,"20","138","62",1638,4341,8783,437
"NORTH CAROLINA","M","Y","0.99199999999999999",290353,31016,259337,"357","1554","9847",19258,67172,172214,19951
"NORTH CAROLINA","M","N","1",293088,31222,261866,"359","1564","9901",19398,67699,174085,20082
"NORTH CAROLINA","O","Y","0.96199999999999997",54610,5371,49239,"69","230","1458",3614,12345,34479,2415
"NORTH CAROLINA","O","N","1",56785,5585,51200,"72","239","1516",3758,12837,35852,2511
"NORTH CAROLINA","R","Y","0.96499999999999997",44486,4505,39981,"117","340","647",3401,17294,19807,2880
"NORTH CAROLINA","R","N","1",46098,4667,41431,"121","352","670",3524,17921,20526,2984
"NORTH DAKOTA","M","Y","0.99399999999999999",9073,265,8808,"6","91","41",127,1267,6926,615
"NORTH DAKOTA","M","N","1",9132,266,8866,"6","91","41",128,1272,6975,619
"NORTH DAKOTA","O","Y","0.90200000000000002",3515,95,3420,"2","26","13",54,426,2745,249
"NORTH DAKOTA","O","N","1",3897,105,3792,"2","29","14",60,472,3044,276
"NORTH DAKOTA","R","Y","0.877",1880,47,1833,"2","19","1",25,520,1189,124
"NORTH DAKOTA","R","N","1",2143,53,2090,"2","22","1",28,593,1356,141
"OHIO","M","Y","0.78100000000000003",332082,29784,302298,"348","3199","12924",13313,65680,203657,32961
"OHIO","M","N","1",392066,32770,359296,"377","3676","13900",14817,75336,247524,36436
"OHIO","O","Y","0.63100000000000001",22531,1020,21511,"5","151","246",618,3479,17122,910
"OHIO","O","N","1",35703,1616,34087,"8","239","390",979,5513,27132,1442
"OHIO","R","Y","0.65800000000000003",14554,810,13744,"8","141","76",585,4064,8815,865
"OHIO","R","N","1",22111,1230,20881,"12","214","115",889,6174,13393,1314
"OKLAHOMA","M","Y","0.999",113809,12203,101606,"149","988","2448",8618,23385,68569,9652
"OKLAHOMA","M","N","1",113847,12205,101642,"149","988","2448",8620,23392,68595,9655
"OKLAHOMA","O","Y","1",33195,3233,29962,"26","261","299",2647,7533,20791,1638
"OKLAHOMA","R","Y","1",10244,1628,8616,"56","126","38",1408,3547,4230,839
"OREGON","M","Y","0.998",127631,10508,117123,"62","977","2529",6940,19749,85937,11437
"OREGON","M","N","1",127824,10517,117307,"62","978","2532",6945,19777,86078,11452
"OREGON","O","Y","0.98799999999999999",26477,1096,25381,"6","129","250",711,3997,20014,1370
"OREGON","O","N","1",26810,1110,25700,"6","131","253",720,4047,20266,1387
"OREGON","R","Y","1",11232,805,10427,"20","110","73",602,2925,6708,794
"PENNSYLVANIA","M","Y","0.95199999999999996",322827,45495,277332,"544","2664","18049",24238,46650,194610,36072
"PENNSYLVANIA","M","N","1",336510,46750,289760,"553","2748","18350",25099,48401,204224,37135
"PENNSYLVANIA","O","Y","0.78900000000000003",16564,1778,14786,"16","196","179",1387,2250,11722,814
"PENNSYLVANIA","O","N","1",20981,2252,18729,"20","248","227",1757,2850,14848,1031
"PENNSYLVANIA","R","Y","1",15961,1429,14532,"19","283","93",1034,4786,8678,1068
"PUERTO RICO","M","Y","1",72172,12649,59523,"522","191","9034",2902,19169,26833,13521
"PUERTO RICO","O","Y","1",9682,1531,8151,"45","32","793",661,3864,3373,914
"RHODE ISLAND","M","Y","1",32731,2585,30146,"33","345","749",1458,5848,20365,3933
"RHODE ISLAND","O","Y","1",2709,214,2495,"1","31","30",152,491,1907,97
"RHODE ISLAND","R","Y","1",57,41,16,"2","15","9",15,2,12,2
"SOUTH CAROLINA","M","Y","0.99199999999999999",148938,22232,126706,"166","1151","4367",16548,27323,88395,10988
"SOUTH CAROLINA","M","N","1",150241,22376,127865,"166","1158","4396",16656,27513,89294,11058
"SOUTH CAROLINA","O","Y","0.97899999999999998",22254,4202,18052,"25","142","629",3406,3772,13128,1152
"SOUTH CAROLINA","O","N","1",22738,4294,18444,"26","145","643",3480,3854,13413,1177
"SOUTH CAROLINA","R","Y","1",33928,6250,27678,"66","284","721",5179,8263,17205,2210
"SOUTH DAKOTA","M","Y","0.93400000000000005",10257,708,9549,"8","174","81",445,1516,7561,472
"SOUTH DAKOTA","M","N","1",11043,742,10301,"8","189","83",462,1608,8200,493
"SOUTH DAKOTA","O","Y","0.78900000000000003",4701,231,4470,"1","67","10",153,760,3536,174
"SOUTH DAKOTA","O","N","1",5961,293,5668,"1","85","13",194,964,4483,221
"SOUTH DAKOTA","R","Y","0.55100000000000005",1312,106,1206,"5","34","4",63,376,749,81
"SOUTH DAKOTA","R","N","1",2382,192,2190,"9","62","7",114,683,1360,147
"TENNESSEE","M","Y","0.95399999999999996",196506,30353,166153,"303","1951","7901",20198,37880,107630,20643
"TENNESSEE","M","N","1",200743,30944,169799,"306","1993","7948",20697,38881,109969,20949
"TENNESSEE","O","Y","0.96799999999999997",33865,3977,29888,"43","217","495",3222,5973,21623,2292
"TENNESSEE","O","N","1",34979,4107,30872,"44","224","511",3328,6170,22335,2367
"TENNESSEE","R","Y","0.96099999999999997",20852,2941,17911,"39","190","134",2578,6067,9980,1864
"TENNESSEE","R","N","1",21691,3060,18631,"41","198","139",2682,6311,10381,1939
"TEXAS","M","Y","0.999",915756,102070,813686,"1080","6728","28581",65681,167382,558725,87579
"TEXAS","M","N","1",916633,102159,814474,"1081","6735","28596",65747,167573,559261,87640
"TEXAS","O","Y","0.996",62465,6289,56176,"51","527","635",5076,12687,40892,2597
"TEXAS","O","N","1",62597,6305,56292,"51","529","636",5089,12718,40971,2603
"TEXAS","R","Y","0.99399999999999999",29169,3820,25349,"85","348","172",3215,10013,13552,1784
"TEXAS","R","N","1",29337,3842,25495,"85","350","173",3234,10071,13630,1794
"UTAH","M","Y","0.98399999999999999",89875,5020,84855,"42","674","1096",3208,11998,66285,6572
"UTAH","M","N","1",91284,5095,86189,"42","686","1105",3262,12187,67333,6669
"UTAH","O","Y","0.97299999999999998",9339,465,8874,"1","76","35",353,1297,7181,396
"UTAH","O","N","1",9597,478,9119,"1","78","36",363,1333,7379,407
"UTAH","R","Y","0.94699999999999995",4845,280,4565,"1","40","16",223,1015,3260,290
"UTAH","R","N","1",5118,296,4822,"1","42","17",236,1072,3444,306
"VERMONT","M","Y","1",5547,285,5262,"10","30","34",211,997,4003,262
"VERMONT","O","Y","0.93999999999999995",6503,239,6264,"2","66","21",150,955,5028,281
"VERMONT","O","N","1",6917,254,6663,"2","70","22",160,1016,5348,299
"VERMONT","R","Y","0.97299999999999998",4154,134,4020,"5","35","9",85,1482,2197,341
"VERMONT","R","N","1",4271,137,4134,"5","36","9",87,1524,2259,351
"VIRGINIA","M","Y","0.999",198031,17922,180109,"325","1371","6523",9703,26358,137740,16011
"VIRGINIA","M","N","1",198202,17937,180265,"325","1372","6528",9712,26378,137862,16025
"VIRGINIA","O","Y","0.98499999999999999",15664,1360,14304,"19","123","211",1007,1933,11690,681
"VIRGINIA","O","N","1",15894,1380,14514,"19","125","214",1022,1961,11862,691
"VIRGINIA","R","Y","1",17790,2309,15481,"48","223","205",1833,4072,10172,1237
"WASHINGTON","M","Y","0.98499999999999999",252520,19135,233385,"149","2280","5423",11283,44467,157932,30986
"WASHINGTON","M","N","1",257151,19409,237742,"150","2320","5506",11433,45160,161006,31576
"WASHINGTON","O","Y","0.96699999999999997",29000,1340,27660,"8","213","240",879,4587,21848,1225
"WASHINGTON","O","N","1",29991,1385,28606,"8","220","248",909,4744,22595,1267
"WASHINGTON","R","Y","1",15367,922,14445,"13","171","54",684,4748,8733,964
"WEST VIRGINIA","M","Y","0.69199999999999995",20958,2441,18517,"24","162","421",1834,4119,12589,1809
"WEST VIRGINIA","M","N","1",28150,3410,24740,"33","196","489",2692,5581,16766,2393
"WEST VIRGINIA","O","Y","0.92900000000000005",8165,844,7321,"11","39","94",700,1520,5394,407
"WEST VIRGINIA","O","N","1",8793,909,7884,"12","42","101",754,1637,5809,438
"WEST VIRGINIA","R","Y","0.91000000000000003",11120,1836,9284,"31","90","65",1650,2808,5629,847
"WEST VIRGINIA","R","N","1",12218,2017,10201,"34","99","71",1813,3085,6185,931
"WISCONSIN","M","Y","0.99399999999999999",132436,11064,121372,"158","808","4347",5751,18612,90884,11876
"WISCONSIN","M","N","1",133087,11088,121999,"158","811","4354",5765,18685,91409,11905
"WISCONSIN","O","Y","0.97999999999999998",24534,872,23662,"7","114","62",689,2559,20148,955
"WISCONSIN","O","N","1",25032,889,24143,"7","116","63",703,2611,20558,974
"WISCONSIN","R","Y","0.97699999999999998",14592,909,13683,"14","125","31",739,4235,8530,918
"WISCONSIN","R","N","1",14943,931,14012,"14","128","32",757,4337,8735,940
"WYOMING","M","Y","1",5669,360,5309,"3","57","44",256,900,4150,259
"WYOMING","O","Y","0.98999999999999999",8596,526,8070,"4","56","25",441,976,6875,219
"WYOMING","O","N","1",8681,531,8150,"4","57","25",445,986,6943,221
"WYOMING","R","Y","1",2233,224,2009,"4","23","5",192,463,1430,116
